plant_site_name,nepco_or_company_name,other_aliases,tech,cap_mw_ac,cod_date,export_start_date,lat,lon,cluster,host_bus_candidate,include_2018,confidence,verify_against,bias_factor,mount
Tafila Wind Farm,JWPC,Jordan Wind Project Company; Masdar/InfraMed,wind,117.0,2015-09-01,,30.83,35.6,tafila,51.0,1,high,"NEPCO 2018 projects table: 117 MW SEP/2015 | HOST 51: in-out Hasa-Rashadia, 7km from Hasa (JICA T6.3-1) - NOT the Tafila-town node",1.226,
Maan Wind Farm,Maan Wind PSC,Al-Hussein wind project; KOSPO/Elecnor,wind,80.0,2016-03-01,,30.17,35.78,maan,63.0,1,high,NEPCO Table 4: in 198.4 MW from 2016; projects table 88 MW Q1/2016; 80 = grid-limited (Table 4 arithmetic). CONTRADICTS Oct-2018 recollection - reconcile | HOST 63: Al-Hussein WF at Maan RE hub (MEZ),1.226,
Al Rajef Wind,Green Watts Renewable Energy,Al-Rajaf; Rajef,wind,82.0,2018-10-30,2018-04-15,30.35,35.55,rajef,63.0,1,high,"NEPCO projects table 82 MW mid/2018 (not 86.1); pre-COD export ~Apr (MEZ) | HOST 63: in-out Quweira-Maan, 48km from Quweira -> Maan side",1.226,
Fujeij Wind,KEPCO Fujeij,Al-Fajeej,wind,89.0,2019-06-01,,30.45,35.65,fujeij,,0,high,listed 'mid/2018' in projects table BUT absent from Table 4 2018 capacity (280.4) -> not exporting 2018,,
Shobak Wind,Alcazar Shobak,Al-Shobak,wind,45.0,2019-09-01,,30.53,35.55,shobak,,0,med,COD 2019,,
Hofa Pilot,CEGCO Hofa,Hofa/Ibrahimiyah pilots,wind,1.4,1996-01-01,,32.55,35.85,north_pilot,,1,high,Table 4 residual = 1.4 MW; T12-T11 wind delta 1.6 GWh | HOST: UNMAPPED: north Irbid area - no crosswalk candidate yet,1.0,
Shams Maan,Shams Maan Power Generation PSC,Nebras/Kawar,solar,52.5,2016-10-01,,30.17,35.82,maan_solar,63.0,1,high,Table 3 decode: 448.5 = 200+100+95+52.5 | HOST: bus 63 HUSSAIN_UNIV/Maan Solar - crosswalk explicitly suggests Maan Solar,,fixed
Round1 Maan Dev Area cluster,various Round-1 PPAs,"Arabia One(10), EJRE(20), Zahrat Alsalam(10), Alzanbaq(10), Alward Aljoury(10), Falcon Maan(20), Scatec Oryx(10)",solar,90.0,2016-06-01,,30.17,35.73,maan_solar,63.0,1,high,MEZ verified names; NEPCO: Round 1 total = 200 MW Q1/2016 | HOST: bus 63 Maan Development Area substation,,fixed
Round1 scattered,various Round-1 PPAs,"Shamsuna Aqaba(10), Jordan Solar One Mafraq(20), Azraq Camp(2), Azraq Ennera(2.5)",solar,34.5,2016-09-01,,29.55,35.0,south_misc,,1,high,MEZ verified; SPLIT Jordan Solar One (Mafraq) out geographically before weather fetch | HOST: SPLIT REQUIRED: Shamsuna->bus 60/59 Aqaba cluster; JordanSolarOne->bus 12 Mafraq; Azraq->bus 20,,fixed
Round1 unattributed remainder,various Round-1 PPAs,~75 MW of the 12 Round-1 PPAs not yet named,solar,75.5,2016-06-01,,30.5,35.9,round1_tbd,,1,med,NEPCO: Round 1 = 200 MW total vs 124.5 named -> identify remaining PPAs + sites from MEMR/EMRC list | HOST: UNMAPPED until PPAs identified,,fixed
Quweira Solar,Sheikh Zayed Solar Complex,Quwireh; Al-Quweira; ADFD,solar,95.0,2018-04-26,,29.8,35.31,quweira,64.0,1,high,NEPCO projects table: 95 MW Q1/2018 (not 103 - reconcile; 103 may be DC or uprate) | HOST: bus 64 QUWEIRA? - crosswalk direct match,,fixed
Mafraq I (FRV),FRV,Round-2 direct offers,solar,50.0,2018-06-01,,32.33,36.23,mafraq,12.0,1,high,NEPCO: Round 2 Mafraq development = 100 MW mid/2018 | HOST: bus 12 MAFRAQ? (alt: 8) - crosswalk low-conf,,fixed
Empire (FRV),FRV,Round-2 direct offers,solar,50.0,2018-06-01,,32.34,36.24,mafraq,12.0,1,high,NEPCO: Round 2 Mafraq development = 100 MW mid/2018 | HOST: bus 12 same Mafraq POI as Mafraq I,,fixed
Zaatari Refugee Camp PV,Belectric Gulf,KFW Grant,solar,11.1,2017-11-01,,32.29,36.32,mafraq,,0,high,EXCLUDED: distribution-connected (IDECO) -> not in NEPCO transmission purchases; Table 3 decode confirms,,fixed
